p,propLabel,eff
http://www.wikidata.org/prop/direct/P910,catégorie,2
http://www.wikidata.org/prop/direct/P1005,identifiant Bibliothèque nationale du Portugal,2
http://www.wikidata.org/prop/direct/P1038,membre de la famille,2
http://www.wikidata.org/prop/direct/P1050,affection médicale,2
http://www.wikidata.org/prop/direct/P1066,élève de,2
http://www.wikidata.org/prop/direct/P1142,idéologie politique,2
http://www.wikidata.org/prop/direct/P1317,actif en/en vie,2
http://www.wikidata.org/prop/direct/P1233,identifiant ISFDB d'un auteur,2
http://www.wikidata.org/prop/direct/P1280,identifiant CONOR.SI,2
http://www.wikidata.org/prop/direct/P1296,identifiant Gran Enciclopèdia Catalana (ancien),2
http://www.wikidata.org/prop/direct/P1695,identifiant Bibliothèque nationale de Pologne (ancien),2
http://www.wikidata.org/prop/direct/P1971,nombre d'enfants,2
http://www.wikidata.org/prop/direct/P2019,identifiant AllMovie d'une personne,2
http://www.wikidata.org/prop/direct/P2032,fin de la période d'activité,2
http://www.wikidata.org/prop/direct/P2605,identifiant ČSFD d'une personne,2
http://www.wikidata.org/prop/direct/P2626,identifiant Det Danske Filminstitut d'une personne,2
http://www.wikidata.org/prop/direct/P2632,lieu de détention,2
http://www.wikidata.org/prop/direct/P2949,identifiant WikiTree,2
http://www.wikidata.org/prop/direct/P3056,identifiant Turner Classic Movies d'une personne,2
http://www.wikidata.org/prop/direct/P3065,identifiant RERO,2
http://www.wikidata.org/prop/direct/P3219,identifiant Encyclopædia Universalis d'un article,2
http://www.wikidata.org/prop/direct/P3365,identifiant Encyclopédie Treccani,2
http://www.wikidata.org/prop/direct/P3373,frère ou sœur,2
http://www.wikidata.org/prop/direct/P3417,identifiant Quora d'un sujet,2
http://www.wikidata.org/prop/direct/P4438,identifiant British Film Institute,2
http://www.wikidata.org/prop/direct/P4666,identifiant CineMagia d'un acteur,2
http://www.wikidata.org/prop/direct/P5019,identifiant Brockhaus Enzyklopädie,2
http://www.wikidata.org/prop/direct/P5357,identifiant The Encyclopedia of Science Fiction,2
http://www.wikidata.org/prop/direct/P5421,identifiant Trading Card Database,2
http://www.wikidata.org/prop/direct/P5587,identifiant Libris,2
http://www.wikidata.org/prop/direct/P5882,identifiant Muziekweb d'un interprète,2
http://www.wikidata.org/prop/direct/P5905,identifiant Comic Vine,2
http://www.wikidata.org/prop/direct/P6087,équipe sportive entraînée,2
http://www.wikidata.org/prop/direct/P6385,identifiant Krugosvet,2
http://www.wikidata.org/prop/direct/P6640,identifiant JRC Names,2
http://www.wikidata.org/prop/direct/P7305,identifiant de l'encyclopédie en ligne PWN,2
http://www.wikidata.org/prop/direct/P7982,identifiant Hrvatska enciklopedija,2
http://www.wikidata.org/prop/direct/P8168,identifiant FactGrid d'un élément,2
http://www.wikidata.org/prop/direct/P8349,identifiant Proleksis enciklopedija,2
http://www.wikidata.org/prop/direct/P8902,identifiant Archives at Yale,2
http://www.wikidata.org/prop/direct/P8971,identifiant Cinémathèque québécoise d'une personne,2
http://www.wikidata.org/prop/direct/P9426,identifiant Generals.dk,2
http://www.wikidata.org/prop/direct/P9536,identifiant Scuola Archeologica Italiana di Atene d'une autorité,2
http://www.wikidata.org/prop/direct/P9662,identifiant Lexicon of international films d'une personne,2
http://www.wikidata.org/prop/direct/P9995,identifiant MYmovies,2
http://www.wikidata.org/prop/direct/P10302,identifiant Film.ru d'une personne,2
http://www.wikidata.org/prop/direct/P10608,identifiant FID,2
http://www.wikidata.org/prop/direct/P11465,Military Historical Archive exile army member ID,2
http://www.wikidata.org/prop/direct/P12385,identifiant Grande Encyclopédie catalane,2
http://www.wikidata.org/prop/direct/P12458,identifiant Parsifal,2
http://www.wikidata.org/prop/direct/P12582,Oxford Reference overview ID,2
http://www.wikidata.org/prop/direct/P13231,Cinema Belgica identification de la personne,2
http://www.wikidata.org/prop/direct/P13480,SearchCulture.gr ID,2
http://www.wikidata.org/prop/direct/P25,mère,1
http://www.wikidata.org/prop/direct/P97,titre de noblesse,1
http://www.wikidata.org/prop/direct/P172,groupe ethnique,1
http://www.wikidata.org/prop/direct/P349,identifiant Bibliothèque nationale de la Diète,1
http://www.wikidata.org/prop/direct/P396,identifiant SBN d'un auteur,1
http://www.wikidata.org/prop/direct/P412,tessiture,1
http://www.wikidata.org/prop/direct/P413,position de jeu ou spécialité,1
